,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
153,2900,1,89,1,0,0,1,0,0,1,3,2,1,20,868,2024/11/14,1,1,1,1,1,1,1,1,28
154,830,0,8,1,0,0,1,0,0,1,5,1,2,18,1704,2024/11/16,1,1,1,0,1,1,1,1,25
155,2688,1,134.14,0,0,0,2,0,0,0,3,2,2,19,706,2024/11/13,0,0,0,0,0,0,0,1,3
156,5000,1,135,0,0,0,3,0,0,1,3,2,2,19,1732,2024/11/14,1,1,1,1,1,1,1,1,25
157,3000,1,89.17,1,0,0,3,0,0,0,3,2,2,19,303,2024/11/14,1,1,1,0,1,1,1,1,22
158,5000,1,135,0,0,0,3,0,0,1,3,2,2,19,1732,2024/11/14,1,1,1,1,1,1,1,1,25
159,2600,1,89,1,1,0,3,0,0,0,3,1,1,19,957,2024/11/14,0,0,0,0,0,0,0,1,3
160,3500,1,89,1,0,0,1,0,0,0,5,1,2,20,1139,2024/11/15,1,1,1,0,1,1,1,1,22
161,2050,1,55,1,1,0,3,1,0,1,1,0,1,19,975,2024/11/8,1,1,1,0,1,1,1,0,18
162,1400,1,34,1,0,0,2,1,1,1,2,1,1,19,514,2024/11/12,1,1,1,0,1,1,0,0,16
163,4400,1,89,1,0,0,3,0,0,1,3,2,2,19,1704,2024/11/16,1,1,1,1,1,1,0,1,26
164,5000,1,143.84,1,0,0,2,0,0,1,4,2,2,19,290,2024/11/16,0,1,0,0,0,1,0,1,13
165,3200,1,114.24,1,0,0,2,0,0,1,3,2,2,19,111,2024/11/10,1,1,1,1,1,1,1,1,25
166,5500,1,129,1,1,0,3,0,0,1,4,2,2,19,979,2024/11/10,1,1,1,0,1,1,1,1,22
167,2700,1,89,1,0,0,1,0,0,0,3,1,2,19,303,2024/11/15,1,1,1,1,1,1,1,1,25
168,4300,1,89.9,1,0,0,1,0,0,1,3,2,2,19,1139,2024/11/16,1,1,1,1,1,1,1,1,28
169,2790,1,133.4,1,0,0,2,0,0,1,3,2,2,14,777,2024/11/11,1,1,1,0,1,1,1,1,22
170,3800,1,83,1,0,0,3,0,0,1,2,1,1,19,1732,2024/11/13,1,1,1,1,1,1,0,1,26
171,1700,1,70,0,0,0,3,0,0,0,2,1,1,7,1319,2024/11/10,1,1,1,1,1,1,1,1,25
172,3000,1,99,1,0,0,3,0,0,0,3,2,1,19,474,2024/11/11,1,1,1,1,1,1,1,1,25
173,3015,1,117,0,0,0,1,0,0,1,3,2,2,19,441,2024/11/15,1,1,1,1,0,1,0,1,20
174,3500,1,139,1,0,0,2,0,0,1,4,2,2,19,303,2024/11/11,1,1,1,1,1,1,1,1,25
175,3000,1,83.23,0,0,0,3,0,0,1,4,2,2,24,532,2024/11/11,1,1,1,1,1,1,1,1,25
176,4500,1,126,0,0,0,3,0,0,1,4,3,3,7,475,2024/11/13,1,1,1,1,1,1,1,0,21
177,5000,1,223,0,1,0,1,0,0,0,4,3,4,12,1318,2024/11/13,0,1,1,0,1,1,1,1,21
178,3388,1,96.69,1,0,0,3,0,0,1,3,1,2,19,290,2024/11/16,1,1,1,0,1,1,0,1,20
179,2700,1,98,0,0,0,2,0,0,1,3,2,1,19,155,2024/11/11,1,1,1,0,0,1,1,0,15
180,4200,1,135,1,0,0,2,0,0,0,3,2,2,19,1114,2024/11/16,1,1,1,1,1,1,0,1,23
181,3645,1,156,0,0,0,1,0,0,1,4,2,2,19,1345,2024/11/14,1,1,1,1,1,0,0,0,15
182,6900,1,150.28,0,1,0,1,0,0,0,5,2,3,19,718,2024/11/14,0,0,0,0,0,0,0,1,3
183,3000,1,117,1,0,0,3,0,0,0,4,2,1,19,1170,2024/11/12,1,1,1,0,1,1,1,1,22
184,2800,1,30,1,0,0,1,1,1,1,2,1,2,19,514,2024/11/10,1,1,1,1,1,1,1,0,24
185,4400,1,132,1,0,0,3,0,0,1,3,2,2,20,706,2024/11/12,1,1,1,1,1,1,1,0,21
186,4300,1,136,1,1,0,1,0,0,1,3,2,2,20,761,2024/11/15,1,1,1,1,1,1,0,1,26
187,3500,1,139,1,0,0,2,0,0,1,4,2,2,19,303,2024/11/11,1,1,1,1,1,1,1,1,25
188,1700,1,53,0,0,0,2,0,0,1,2,1,1,19,717,2024/11/12,1,1,1,0,1,1,0,1,23
189,3000,1,83.23,0,0,0,3,0,0,1,4,2,2,24,532,2024/11/11,1,1,1,1,1,1,1,1,25
190,4500,1,129,1,0,0,3,0,0,1,3,2,2,29,1546,2024/11/16,0,1,0,0,0,0,0,1,6
191,3300,1,89,1,0,0,2,0,0,1,3,2,2,19,290,2024/11/13,1,1,1,0,1,1,1,1,25
192,2300,1,89,1,0,0,3,0,0,1,3,2,2,19,111,2024/11/8,1,1,1,0,1,1,1,1,22
193,5800,1,137,1,1,0,1,0,0,1,4,2,3,19,718,2024/11/11,1,1,1,1,1,1,1,1,31
194,5500,1,129,1,1,0,3,0,0,1,4,2,2,19,979,2024/11/15,1,1,1,1,1,1,1,1,28
195,3500,1,135,1,0,0,2,0,0,0,3,2,2,20,475,2024/11/14,1,1,1,1,1,1,1,1,25
196,2000,1,81.5,0,0,0,3,0,0,0,3,1,1,20,1319,2024/11/16,1,1,1,0,1,1,1,1,22
197,5000,1,97,1,1,0,2,0,0,1,3,2,2,19,360,2024/11/15,1,1,1,0,1,1,1,1,22
198,3200,1,110.27,0,0,0,3,0,0,0,5,2,3,19,432,2024/11/16,0,1,0,0,0,1,0,1,10
199,4000,1,89,1,0,0,2,0,0,0,4,2,2,19,1139,2024/11/13,1,1,1,1,1,1,0,1,23
200,4900,1,89.7,1,0,0,3,0,0,1,3,1,2,19,1139,2024/11/16,1,1,1,1,1,1,1,1,28
201,2866,1,112,1,1,0,2,0,0,1,3,2,2,19,810,2024/11/11,1,1,1,0,1,1,1,1,22
202,2800,1,86.25,1,1,0,2,0,0,1,2,2,1,19,761,2024/11/12,1,1,1,1,1,1,0,1,23
203,3800,1,125,0,0,0,1,0,0,1,3,2,2,19,1058,2024/11/12,1,1,1,1,1,1,1,1,25
204,3800,1,125,0,0,0,1,0,0,1,3,2,2,19,1058,2024/11/12,1,1,1,1,1,1,1,1,25
205,4200,1,131.18,1,0,0,3,0,0,1,4,2,2,19,290,2024/11/16,0,0,0,0,0,0,0,1,9
206,2500,1,87,1,0,0,3,0,0,0,3,2,1,19,111,2024/11/12,1,1,1,1,1,1,0,1,23
207,2100,1,41.71,1,0,0,1,0,0,1,1,1,1,19,303,2024/11/16,1,1,1,0,1,1,1,1,22
208,4800,1,129.78,1,0,0,3,0,0,1,4,2,2,20,290,2024/11/12,1,1,1,0,1,1,1,1,22
209,3200,1,147.4,0,0,0,2,0,0,0,4,2,2,19,871,2024/11/15,1,1,1,1,1,0,1,1,21
210,4800,1,89,1,0,0,3,0,0,0,4,2,2,19,1139,2024/11/16,1,1,1,1,1,1,1,1,28
211,4000,1,128,1,0,0,2,0,0,0,3,2,2,20,475,2024/11/12,1,1,0,1,1,1,1,0,18
212,4400,1,134,0,0,0,3,0,0,1,4,2,2,19,1541,2024/11/12,1,1,1,0,1,1,1,0,18
213,2650,1,119.87,0,0,0,2,0,0,0,3,2,2,19,1319,2024/11/16,1,1,1,0,1,1,1,1,22
214,1500,1,36,0,0,0,3,0,0,1,1,1,1,19,1301,2024/11/12,1,1,0,0,1,1,1,1,25
215,2800,1,108,1,1,0,3,0,0,0,3,2,2,20,810,2024/11/15,1,1,1,1,1,1,1,1,28
216,3600,1,166,0,0,0,3,0,0,0,4,2,2,19,1541,2024/11/16,1,1,1,0,1,1,1,1,25
217,2610,1,103.61,0,0,0,3,0,0,1,3,1,1,19,679,2024/11/16,1,1,1,1,1,0,1,0,20
218,4800,1,89,1,0,0,3,0,0,0,4,2,2,19,1139,2024/11/16,1,1,1,1,1,1,1,1,28
